"Sport","S.NO","Name","Nationality","Current.Rank","Previous.Year.Rank","Year","earnings....million.","END","STR","PWR","SPD","AGI","FLX","NER","DUR","HAN","ANA","TOTAL","RANK","Tougher Sport","Difference in Wealth Rank and Toughness Rank","Sport Percentage of List"
"Auto Racing",185,"Kimi Raikkonen","Finland",2,"5",2009,45,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-30,13
"Auto Racing",180,"Valentino Rossi","Italy",9,">10",2008,35,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-23,13
"Auto Racing",78,"Dale Earnhardt","USA",8,"20",1997,19.1,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-24,13
"Auto Racing",5,"Alain Prost","France",5,"",1990,9,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-27,13
"Auto Racing",50,"Nigel Mansell","UK",10,"19",1994,11.3,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-22,13
"Auto Racing",15,"Ayrton Senna","Brazil",5,"4",1991,13,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-27,13
"Auto Racing",19,"Nigel Mansell","UK",9,"12",1991,9,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-23,13
"Auto Racing",34,"Alain Prost","France",4,">40",1993,16,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-28,13
"Auto Racing",191,"Dale Earnhardt Jr.","USA",10,">10",2009,34,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-22,13
"Auto Racing",166,"Michael Schumacher","Germany",5,"2",2007,36,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-27,13
"Auto Racing",151,"Valentino Rossi","Italy",9,">10",2005,28,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-23,13
"Auto Racing",190,"Valentino Rossi","Italy",9,"9",2009,35,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-23,13
"Auto Racing",153,"Michael Schumacher","Germany",2,"2",2006,58,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-30,13
"Auto Racing",23,"Ayrton Senna","Brazil",3,"5",1992,22,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-29,13
"Auto Racing",91,"Michael Schumacher","Germany",1,"2",1999,49,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-31,13
"Auto Racing",101,"Michael Schumacher","Germany",1,"1",2000,59,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-31,13
"Auto Racing",120,"Jacques Villeneuve","Canada",10,">10",2002,20,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-22,13
"Auto Racing",121,"Jeff Gordon","USA",10,">10",2002,20,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-22,13
"Auto Racing",133,"Michael Schumacher","Germany",2,"2",2004,80,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-30,13
"Auto Racing",131,"Jacques Villeneuve","Canada",10,"10",2003,23,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-22,13
"Auto Racing",16,"Alain Prost","France",6,"5",1991,11,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-26,13
"Auto Racing",123,"Michael Schumacher","Germany",2,"2",2003,75,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-30,13
"Auto Racing",59,"Michael Schumacher","Germany",9,"30",1995,15,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-23,13
"Auto Racing",4,"Ayrton Senna","Brazil",4,"",1990,10,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8,7.5,47.875,32,FALSE,-28,13
